[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Run CheckLang Behavior [ RunTime:0.001626s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002397s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_template ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Run LocationTemplate Behavior [ RunTime:0.002673s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_template ] --END-- [ RunTime:0.002806s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | NOTIC: [8] Undefined variable: list 8d630bfcc3f8428cb093c5301748865f.php 第 16 行.
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | NOTIC: [8] Undefined index:  action 8d630bfcc3f8428cb093c5301748865f.php 第 33 行.
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Run ParseTemplate Behavior [ RunTime:0.002850s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002953s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Run ContentReplace Behavior [ RunTime:0.000789s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Run TokenBuild Behavior [ RunTime:0.000855s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000628s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Run ShowRuntime Behavior [ RunTime:0.000800s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003288s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_end ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Run ShowPageTrace Behavior [ RunTime:0.000957s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_end ] --END-- [ RunTime:0.001050s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ route_check ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Run CheckRoute Behavior [ RunTime:0.001820s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.001961s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000883s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Run CheckLang Behavior [ RunTime:0.002240s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003268s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ view_template ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Run LocationTemplate Behavior [ RunTime:0.001547s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.001674s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Run ParseTemplate Behavior [ RunTime:0.001675s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001760s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Run ContentReplace Behavior [ RunTime:0.000699s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Run TokenBuild Behavior [ RunTime:0.000970s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000557s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Run ShowRuntime Behavior [ RunTime:0.000769s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003209s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ view_end ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.000756s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.000823s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/skin/images/frame/wbg.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ route_check ] --START--
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Run CheckRoute Behavior [ RunTime:0.001023s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ route_check ] --END-- [ RunTime:0.001179s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000643s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Run CheckLang Behavior [ RunTime:0.001956s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002791s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.003962s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.000502s ]
