[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ route_check ] --START--
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001119s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ app_begin ] --START--
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000661s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run CheckLang Behavior [ RunTime:0.002088s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002951s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/upload/_list/cid/1 | SQL: SHOW COLUMNS FROM `my_attachment` [ RunTime:0.002522s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/upload/_list/cid/1 | NOTIC: [8] Undefined variable: where UploadAction.class.php 第 22 行.
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/upload/_list/cid/1 | SQL: SELECT * FROM `my_attachment`  [ RunTime:0.001559s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ route_check ] --START--
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Run CheckRoute Behavior [ RunTime:0.001965s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002118s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000620s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Run CheckLang Behavior [ RunTime:0.001570s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002311s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | SQL: SHOW COLUMNS FROM `my_attachment_cateory` [ RunTime:0.002048s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | SQL: SELECT * FROM `my_attachment_cateory`  [ RunTime:0.000985s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_template ] --START--
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000550s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000642s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013140s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013243s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Run ContentReplace Behavior [ RunTime:0.000421s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Run TokenBuild Behavior [ RunTime:0.000421s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000220s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000432s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001667s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_end ] --START--
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000447s ]
[ 2012-10-18T15:28:07+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000509s ]
[ 2012-10-18T15:28:08+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ route_check ] --START--
[ 2012-10-18T15:28:08+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run CheckRoute Behavior [ RunTime:0.001066s ]
[ 2012-10-18T15:28:08+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001217s ]
[ 2012-10-18T15:28:08+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ app_begin ] --START--
[ 2012-10-18T15:28:08+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000724s ]
[ 2012-10-18T15:28:08+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run CheckLang Behavior [ RunTime:0.001958s ]
[ 2012-10-18T15:28:08+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002887s ]
[ 2012-10-18T15:28:08+08:00 ] /index.php/Admin/upload/_list/cid/1 | SQL: SHOW COLUMNS FROM `my_attachment` [ RunTime:0.002948s ]
[ 2012-10-18T15:28:08+08:00 ] /index.php/Admin/upload/_list/cid/1 | NOTIC: [8] Undefined variable: where UploadAction.class.php 第 22 行.
[ 2012-10-18T15:28:08+08:00 ] /index.php/Admin/upload/_list/cid/1 | SQL: SELECT * FROM `my_attachment`  [ RunTime:0.000272s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ route_check ] --START--
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Run CheckRoute Behavior [ RunTime:0.001353s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001607s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000790s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Run CheckLang Behavior [ RunTime:0.002140s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003228s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | SQL: SHOW COLUMNS FROM `my_attachment_cateory` [ RunTime:0.002819s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | SQL: SELECT * FROM `my_attachment_cateory`  [ RunTime:0.001833s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_template ] --START--
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000516s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000605s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Run ParseTemplate Behavior [ RunTime:0.021714s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021829s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Run ContentReplace Behavior [ RunTime:0.000458s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Run TokenBuild Behavior [ RunTime:0.000434s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000220s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000454s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001749s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_end ] --START--
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001310s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001606s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ route_check ] --START--
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run CheckRoute Behavior [ RunTime:0.001136s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001294s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ app_begin ] --START--
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000662s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run CheckLang Behavior [ RunTime:0.001790s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002646s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/upload/_list/cid/1 | SQL: SHOW COLUMNS FROM `my_attachment` [ RunTime:0.007496s ]
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/upload/_list/cid/1 | NOTIC: [8] Undefined variable: where UploadAction.class.php 第 22 行.
[ 2012-10-18T15:29:23+08:00 ] /index.php/Admin/upload/_list/cid/1 | SQL: SELECT * FROM `my_attachment`  [ RunTime:0.000241s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ route_check ] --START--
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Run CheckRoute Behavior [ RunTime:0.001529s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001653s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000959s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Run CheckLang Behavior [ RunTime:0.002228s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003335s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | SQL: SHOW COLUMNS FROM `my_attachment_cateory` [ RunTime:0.002767s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | SQL: SELECT * FROM `my_attachment_cateory`  [ RunTime:0.000665s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_template ] --START--
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001152s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001222s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Run ParseTemplate Behavior [ RunTime:0.014833s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014933s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Run ContentReplace Behavior [ RunTime:0.000758s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Run TokenBuild Behavior [ RunTime:0.000765s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000544s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000764s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003015s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_end ] --START--
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000757s ]
[ 2012-10-18T15:43:09+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000822s ]
[ 2012-10-18T15:43:10+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ route_check ] --START--
[ 2012-10-18T15:43:10+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run CheckRoute Behavior [ RunTime:0.001028s ]
[ 2012-10-18T15:43:10+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001167s ]
[ 2012-10-18T15:43:10+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ app_begin ] --START--
[ 2012-10-18T15:43:10+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000658s ]
[ 2012-10-18T15:43:10+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Run CheckLang Behavior [ RunTime:0.002041s ]
[ 2012-10-18T15:43:10+08:00 ] /index.php/Admin/upload/_list/cid/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002940s ]
[ 2012-10-18T15:43:10+08:00 ] /index.php/Admin/upload/_list/cid/1 | SQL: SHOW COLUMNS FROM `my_attachment` [ RunTime:0.004224s ]
[ 2012-10-18T15:43:10+08:00 ] /index.php/Admin/upload/_list/cid/1 | NOTIC: [8] Undefined variable: where UploadAction.class.php 第 22 行.
[ 2012-10-18T15:43:10+08:00 ] /index.php/Admin/upload/_list/cid/1 | SQL: SELECT * FROM `my_attachment`  [ RunTime:0.001708s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ route_check ] --START--
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Run CheckRoute Behavior [ RunTime:0.001785s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001956s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001051s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Run CheckLang Behavior [ RunTime:0.003165s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004515s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | SQL: SHOW COLUMNS FROM `my_attachment_cateory` [ RunTime:0.004841s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | SQL: SELECT * FROM `my_attachment_cateory`  [ RunTime:0.000376s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_template ] --START--
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001618s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001744s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Run ParseTemplate Behavior [ RunTime:0.023224s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023459s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Run ContentReplace Behavior [ RunTime:0.001352s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Run TokenBuild Behavior [ RunTime:0.001265s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000930s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000970s ]
[ 2012-10-18T15:43:12+08:00 ] /index.php/Admin/Upload/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004876s ]
