[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000544s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ route_check ] --START--
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Run CheckRoute Behavior [ RunTime:0.001987s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ route_check ] --END-- [ RunTime:0.002143s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000944s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Run CheckLang Behavior [ RunTime:0.002647s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003773s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | SQL: SHOW COLUMNS FROM `my_product` [ RunTime:0.004004s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | SQL: SELECT * FROM `my_product`  [ RunTime:0.002244s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_template ] --START--
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Run LocationTemplate Behavior [ RunTime:0.001287s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_template ] --END-- [ RunTime:0.001374s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Run ParseTemplate Behavior [ RunTime:0.001961s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002065s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Run ContentReplace Behavior [ RunTime:0.000798s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Run TokenBuild Behavior [ RunTime:0.000779s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000967s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Run ShowRuntime Behavior [ RunTime:0.001106s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003955s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_end ] --START--
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Run ShowPageTrace Behavior [ RunTime:0.001261s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_end ] --END-- [ RunTime:0.001380s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/skin/images/allbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/skin/images/frame/search.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/skin/images/newlinebg3.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/skin/images/tbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/skin/images/wbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ route_check ] --START--
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Run CheckRoute Behavior [ RunTime:0.001045s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ route_check ] --END-- [ RunTime:0.001197s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000676s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Run CheckLang Behavior [ RunTime:0.002040s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002907s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | SQL: SHOW COLUMNS FROM `my_procates` [ RunTime:0.003005s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | SQL: SELECT * FROM `my_procates` WHERE pid=0  [ RunTime:0.003203s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | SQL: SELECT * FROM `my_procates` WHERE pid!=0  [ RunTime:0.000143s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_template ] --START--
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Run LocationTemplate Behavior [ RunTime:0.000893s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_template ] --END-- [ RunTime:0.000981s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Run ParseTemplate Behavior [ RunTime:0.001521s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001612s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Run ContentReplace Behavior [ RunTime:0.000395s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Run TokenBuild Behavior [ RunTime:0.000464s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000295s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Run ShowRuntime Behavior [ RunTime:0.000513s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001890s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_end ] --START--
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Run ShowPageTrace Behavior [ RunTime:0.000558s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_end ] --END-- [ RunTime:0.000639s ]
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/skin/images/allbg.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/skin/images/wbg.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/skin/images/frame/search.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/skin/images/newlinebg3.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T15:42:50+08:00 ] /index.php/Admin/Product/skin/images/tbg.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ route_check ] --START--
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Run CheckRoute Behavior [ RunTime:0.004461s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ route_check ] --END-- [ RunTime:0.004625s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000660s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Run CheckLang Behavior [ RunTime:0.001881s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002721s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | SQL: SHOW COLUMNS FROM `my_product` [ RunTime:0.004977s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | SQL: SELECT * FROM `my_product`  [ RunTime:0.000328s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_template ] --START--
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Run LocationTemplate Behavior [ RunTime:0.000598s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_template ] --END-- [ RunTime:0.000694s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Run ParseTemplate Behavior [ RunTime:0.001741s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001883s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Run ContentReplace Behavior [ RunTime:0.000532s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Run TokenBuild Behavior [ RunTime:0.000560s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000306s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Run ShowRuntime Behavior [ RunTime:0.000486s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002117s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_end ] --START--
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Run ShowPageTrace Behavior [ RunTime:0.000516s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/Product | INFO: Tag[ view_end ] --END-- [ RunTime:0.000586s ]
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/skin/images/allbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/skin/images/tbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/skin/images/frame/search.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/skin/images/newlinebg3.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-23T15:42:53+08:00 ] /index.php/Admin/skin/images/wbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ route_check ] --START--
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Run CheckRoute Behavior [ RunTime:0.001050s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001218s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000637s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Run CheckLang Behavior [ RunTime:0.002277s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003124s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ view_template ] --START--
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Run LocationTemplate Behavior [ RunTime:0.003192s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.003348s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | NOTIC: [8] Undefined variable: list 29533b020bdce9b156a522c21780ec5b.php 第 124 行.
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | NOTIC: [8] Undefined variable: list 29533b020bdce9b156a522c21780ec5b.php 第 125 行.
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Run ParseTemplate Behavior [ RunTime:0.001474s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001549s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Run ContentReplace Behavior [ RunTime:0.000382s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Run TokenBuild Behavior [ RunTime:0.000432s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000247s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000443s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001687s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ view_end ] --START--
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000690s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.000774s ]
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/skin/images/allbg.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/skin/images/newlinebg3.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T15:42:54+08:00 ] /index.php/Admin/product/skin/images/tbg.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ route_check ] --START--
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Run CheckRoute Behavior [ RunTime:0.001082s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ route_check ] --END-- [ RunTime:0.001222s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000634s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Run CheckLang Behavior [ RunTime:0.001990s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002815s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | SQL: SHOW COLUMNS FROM `my_procates` [ RunTime:0.002916s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | SQL: SELECT * FROM `my_procates` WHERE pid=0  [ RunTime:0.001335s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | SQL: SELECT * FROM `my_procates` WHERE pid!=0  [ RunTime:0.000141s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_template ] --START--
